name,repoURL,sourceURL,wgetURL,have,source,newCategories,categories,scope,eTag,lastModifiedDateInSource,geoResolution,startDate,endDate,timeResolution,rasterized,fileType,fileSize,internalLocation,ckanURL,notes
"Global Human Influence Index ( IGHP ), v2",http://sedac.ciesin.columbia.edu/data/sets/browse,http://sedac.ciesin.columbia.edu/data/set/wildareas-v2-human-influence-index-ighp/data-download,http://www.ciesin.columbia.edu/repository/wildareas/data/hii_global_ighp_grid.zip,yes,"SEDAC, Columbia University","Climate and Weather , Changing Ecosystems , Human Susceptibility","Biodiversity, Scenarios / GCM",Global,b7444-19be218-46179d434a680,Tue 27 Jan 2009 17:03:06 GMT,,,,,,zip,25.7426986694,,,
Global Lakes and Wetlands Database : Lakes and Wetlands ( Level 3 ),https://worldwildlife.org/pages/conservation-science-data-and-tools,http://worldwildlife.org/publications/global-lakes-and-wetlands-database-lakes-and-wetlands-grid-level-3,http://assets.worldwildlife.org/publications/18/files/original/GLWD-level3.zip?1343838716,yes,"WWF, Center for Environmental Research, University of Kassel",Changing Ecosystems,"Land Use / Land Cover , Biodiversity",Global,d119648125fa7d1d2902a32931110fc5,Wed 01 Aug 2012 16:31:58 GMT,,,,,,zip,8.8546619415,,,
Global Lakes and Wetlands Database : Large Lakes Polygons ( Level 1 ),https://worldwildlife.org/pages/conservation-science-data-and-tools,http://worldwildlife.org/publications/global-lakes-and-wetlands-database-large-lake-polygons-level-1,http://assets.worldwildlife.org/publications/16/files/original/GLWD-level1.zip?1343838522,yes,"WWF, Center for Environmental Research, University of Kassel",Changing Ecosystems,"Land Use / Land Cover , Biodiversity",Global,99adf4c18ab1ebb0e16bbb85b4f34e36,Wed 01 Aug 2012 16:28:43 GMT,,,,,,zip,6.4444723129,,,
Global Lakes and Wetlands Database : Large Lakes Polygons ( Level 2 ),https://worldwildlife.org/pages/conservation-science-data-and-tools,http://worldwildlife.org/publications/global-lakes-and-wetlands-database-small-lake-polygons-level-2,http://assets.worldwildlife.org/publications/17/files/original/GLWD-level2.zip?1343838637,yes,"WWF, Center for Environmental Research, University of Kassel",Changing Ecosystems,"Land Use / Land Cover , Biodiversity",Global,397132a7fcd6de3c29b22beed9b9e8ef,Wed 01 Aug 2012 16:30:38 GMT,,,,,,zip,31.9938335419,,,
Global Map of Human Impacts to Marine Ecosystems ,,http://www.nceas.ucsb.edu/globalmarine/impacts,,no,National Center for Ecological Analysis and Synthesis,"International Travel and Commerce , Infrastructure","Biodiversity , Natural Disaster",Global ,,,,,,,,,,,,
Global Map of Irrigated Areas,,,http://webmap.ornl.gov/kmz/ornldaac_ds10013.kmz,yes,,Changing Ecosystems,"Land Use / Land Cover , Food Security",Global,7000000005b5d-556-49440d7349465,Thu 04 Nov 2010 21:28:36 GMT,,1900s,1900s,0,no,kmz,0.0013027191,,,"The map shows the amount of area equipped for irrigation around the turn of the 20th century in percentage of the total area on a raster with a resolution of 5 minutes. The area actually irrigated was smaller, but is unknown for most countries. A special note has to be made for Australia and India where the map shows the total area actually irrigated. This is due to the fact that statistics collected in Australia and India refer to actually irrigated area as opposed to statistics with area equipped for irrigation which are collected in most other countries.   "
Global Map of Irrigation Areas,http://www.fao.org/nr/water/aquastat/irrigationmap/index.stm,www.fao.org/geonetwork/srv/en/metadata.show?id=5020,http://www.fao.org/geonetwork/srv/en/resources.get?id=5020&fname=gmia_v5_all.zip&access=private,no,Food and Agriculture Organization ,"Changing Ecosystems , Human Demographics and Behavior",Land Use / Land Cover,Global,,,,,,,,,,,,
"Global Maps of Atmospheric Nitrogen Deposition, 1860, 1993 and 2050",http://daac.ornl.gov/,http://daac.ornl.gov/cgi-bin/dsviewer.pl?ds_id=830,http://daac.ornl.gov/cgi-bin/download.pl?ds_id=830&source=dsviewer,no,Oak Ridge National Laboratory ,"Climate and Weather , Changing Ecosystems","Scenarios / GCM , Biodiversity",Global,,,,,,,,,,,,Site requires login to begin data download
Global Monthly Climatology for the twentieth century ( New et al ),http://daac.ornl.gov/,http://daac.ornl.gov/cgi-bin/dsviewer.pl?ds_id=551,http://daac.ornl.gov/cgi-bin/download.pl?ds_id=551&source=dsviewer,no,Oak Ridge National Laboratory ,"Climate and Weather , Changing Ecosystems","Scenarios / GCM , Biodiversity",Global,,,,,,,,,,,,Site requires login to begin data download
"Global Monthly Precipitation, 1900 - 1999 ( Hulme )",http://daac.ornl.gov/,http://daac.ornl.gov/cgi-bin/dsviewer.pl?ds_id=417,http://daac.ornl.gov/cgi-bin/download.pl?ds_id=417&source=dsviewer,no,Oak Ridge National Laboratory ,"Climate and Weather , Changing Ecosystems","Scenarios / GCM , Biodiversity",Global,,,,,,,,,,,,Site requires login to begin data download
Global N Cycle : Fluxes and N2O Mixing ratios originating from human activity ,http://daac.ornl.gov/,http://daac.ornl.gov/cgi-bin/dsviewer.pl?ds_id=797,http://daac.ornl.gov/cgi-bin/download.pl?ds_id=797&source=dsviewer,no,Oak Ridge National Laboratory ,"Climate and Weather , Changing Ecosystems","Scenarios / GCM , Biodiversity",Global,,,,,,,,,,,,Site requires login to begin data download
"Global Number of fishers , commerical and subsistence",http://iea.uoregon.edu/page.php?query=one_indicator,,ftp://ftp.fao.org/docrep/fao/009/x4193t/x4193t.zip,yes,Food and Agricultural Organization ,"Changing Ecosystems, International Travel and Commerce","Biodiversity , Food Security , Transportation / Trade",Global,,Fri 05 Jan 2007 10:36:11 GMT,,,,,,,4.1953697205,,,
Global Ocean Data Analysis Project ( GLODAP ),http://cdiac.ornl.gov/oceans/glodap/GlopDV.html,"http://cdiac.ornl.gov/ftp/oceans/GLODAP_bottle_files/ ,
http://cdiac.ornl.gov/ftp/oceans/GLODAP_Gridded_Data/ ,
http://cdiac.ornl.gov/ftp/oceans/All_Oceans_GLODAP_ODV/",,no,Oak Ridge National Laboratory ,Climate and Weather,Scenarios / GCM,Global,,,,,,,,,,,,
Global Ocean Heat Flux and Evaporation Products,http://oaflux.whoi.edu/data.html,ftp://ftp.whoi.edu/pub/science/oaflux/data_v3,,no,"WHOI OAFlux Project , Woods Hole Oceanographic Institution","Climate and Weather , Changing Ecosystems","Flood / Drought , Biodiversity , Scenarios / GCM",Global,,,,,,,,,,,,
Global Organic Soil Carbon and Nitrogen ( Zinke et al ),http://daac.ornl.gov/,http://daac.ornl.gov/cgi-bin/dsviewer.pl?ds_id=221,http://daac.ornl.gov/cgi-bin/download.pl?ds_id=221&source=dsviewer,no,Oak Ridge National Laboratory ,"Climate and Weather , Changing Ecosystems","Land Use / Land Cover , Biodiversity , Food Security",Global,,,,,,,,,,,,Site requires login to begin data download
Global Potential Vegetation Dataset,http://www.sage.wisc.edu/mapsdatamodels.html,http://www.sage.wisc.edu/download/potveg/global_potveg.html,"http://www.sage.wisc.edu/download/potveg/potveg_nc.tar.gz ,
http://www.sage.wisc.edu/download/potveg/glpotveg_5min.asc.gz?dl_file_name=potveg/glpotveg_5min.asc.gz ,
http://www.sage.wisc.edu/download/potveg/glpotveg_0.5.asc.gz",yes,"Ramankutty and Foley, Center for Sustainability and Global Environment, University of Wisconsin - Madison",Changing Ecosystems,Land Use / Land Cover,Global,"692d55-b587e-39d1d8b1,692d54-81f6a-3a71ec6c,692d53-5b62-3a71ec7f","Wed 27 Sep 2000 11:23:29 GMT,Fri 26 Jan 2001 21:30:20 GMT,Fri 26 Jan 2001 21:30:39 GMT",,,,,,"tar,txt,txt",1.2390842438,,,
"Global River Discharge , 1807 - 1991 , version 1.1 ( RivDIS )",http://daac.ornl.gov/,http://daac.ornl.gov/cgi-bin/dsviewer.pl?ds_id=199,http://daac.ornl.gov/cgi-bin/download.pl?ds_id=199&source=dsviewer,no,Oak Ridge National Laboratory ,"Climate and Weather , Changing Ecosystems","Scenarios / GCM , Biodiversity",Global,,,,,,,,,,,,Site requires login to begin data download
Global Roads Open Access Dataset,http://sedac.ciesin.columbia.edu/data/sets/browse,http://sedac.ciesin.columbia.edu/data/set/groads-global-roads-open-access-v1,http://sedac.ciesin.columbia.edu/downloads/data/groads/groads-global-roads-open-access-v1/groads-v1-global-gdb.zip,yes,"gRoads, SEDAC, Columbia University","International Travel and Commerce , Infrastructure","Transportation / Trade , Infrastructure",Global ,e8100-c423266-4d8718d0a2900,Thu 21 Mar 2013 16:08:36 GMT,,,,,,zip,196.137304306,,,
Global Seawater Oxygen-18 Database,http://data.giss.nasa.gov/,http://data.giss.nasa.gov/o18data/,http://data.giss.nasa.gov/o18data/dbO18.txt.gz,yes,NASA,"Climate and Weather , Changing Ecosystems","Flood / Drought , Land Use / Land Cover ",Global,43c5d-4a5ad4e27d080,Tue 14 Jun 2011 15:01:06 GMT,,,,,,zip,0.2647371292,,,
Global Seismic Hazard Assessment Program,,http://www.seismo.ethz.ch/static/GSHAP/global/,"http://www.seismo.ethz.ch/gshap/global/gshapfin.ps.gz ,
http://www.seismo.ethz.ch/static/GSHAP/global/gshapfin.zip ,
http://www.seismo.ethz.ch/gshap/gshpub.zip",yes,International Lithosphere Program ,"Climate and Weather , Changing Ecosystems",Natural Disaster,Global ,6001221-454bb3-35c598330f340,"Mon 14 Mar 2011 07:33:06 GMT,Thu 23 Dec 1999 15:54:13 GMT,Mon 14 Mar 2011 07:33:06 GMT",,,,,,"zip,zip,zip",4.3316316605,,,
Global Self Consistent Hierarchial High Resolution Geography Database,,http://www.ngdc.noaa.gov/mgg/shorelines/data/gshhg/latest/,"http://www.ngdc.noaa.gov/mgg/shorelines/data/gshhg/latest/gshhg-bin-2.2.2.zip ,
http://www.ngdc.noaa.gov/mgg/shorelines/data/gshhg/latest/gshhg-gmt-nc3-2.2.2.tar.bz2 ,
http://www.ngdc.noaa.gov/mgg/shorelines/data/gshhg/latest/gshhg-gmt-nc4-2.2.2.tar.gz ,
http://www.ngdc.noaa.gov/mgg/shorelines/data/gshhg/latest/gshhg-shp-2.2.2.zip ,
http://www.ngdc.noaa.gov/mgg/shorelines/data/gshhg/latest/readme.txt",yes,National Geophysical Data Center,"Changing Ecosystems , Political Stability","Land Use / Land Cover , Political Stability",Global ,,"Fri 04 Jan 2013 18:00:18 GMT,Fri 04 Jan 2013 17:53:43 GMT,Fri 04 Jan 2013 17:52:30 GMT,Fri 22 Feb 2013 20:28:47 GMT,Fri 04 Jan 2013 17:50:45 GMT",,,,,,"zip,x-bzip2,zip,zip,txt",362.99399662,,,
Global Shipping Lanes ,,http://geocommons.com/maps/5254,,no,Geocommons,"International Travel and Commerce , Infrastructure","Transportation / Trade , Infrastructure",Global,,,,,,,,,,,,
Global Soil Profile Data ( ISRIC - WISE ),http://daac.ornl.gov/,http://daac.ornl.gov/cgi-bin/dsviewer.pl?ds_id=547,http://daac.ornl.gov/cgi-bin/download.pl?ds_id=547&source=dsviewer,no,Oak Ridge National Laboratory ,"Climate and Weather , Changing Ecosystems","Land Use / Land Cover , Biodiversity , Food Security",Global,,,,,,,,,,,,Site requires login to begin data download
Global Soil Texture and Derived Water - Holding Capacities ( Webb et al. ),http://daac.ornl.gov/,http://daac.ornl.gov/cgi-bin/dsviewer.pl?ds_id=548,http://daac.ornl.gov/cgi-bin/download.pl?ds_id=548&source=dsviewer,no,Oak Ridge National Laboratory ,"Climate and Weather , Changing Ecosystems","Land Use / Land Cover , Biodiversity , Food Security",Global,,,,,,,,,,,,Site requires login to begin data download
Global Soil Types,,,http://webmap.ornl.gov/kmz/ornldaac_ds10007.kmz,yes,,Changing Ecosystems,"Land Use / Land Cover , Food Security",Global,7000000005b57-54f-49440d60e5e87,Thu 04 Nov 2010 21:28:16 GMT,,,,,no,kmz,0.0012960434,,,"A global data set of soil types is available at 1-degree latitude by 1-degree longitude resolution. Soil types are described at two levels of detail, including 106 types based on Zobler assessment of FAO Soil Units (Zobler, 1986) and an aggregated list of 27 types at the Great Group level. These data represent a subset of Zobler World File for Global Climate Modeling (Zobler, 1986) and were compiled as part of an effort to improve modeling of the hydrologic cycle portion of global climate models    "
"GLOBAL SOIL TYPES, 0.5-DEGREE GRID (MODIFIED ZOBLER)",,,http://webmap.ornl.gov/kmz/ornldaac_ds540.kmz,yes,,Changing Ecosystems,"Land Use / Land Cover, Biodiversity",Global,b000000005a3d-548-49440cddbcba5,Thu 04 Nov 2010 21:25:59 GMT,,,,,no,kmz,0.0012893677,,,A global data set of soil types is available at 0.5-degree latitude by 0.5-degree longitude resolution.      
"Global Soil Types, 1-Degree Grid ( Zobler )",http://daac.ornl.gov/,http://daac.ornl.gov/cgi-bin/dsviewer.pl?ds_id=418,http://daac.ornl.gov/cgi-bin/download.pl?ds_id=418&source=dsviewer,no,Oak Ridge National Laboratory ,"Climate and Weather , Changing Ecosystems","Land Use / Land Cover , Biodiversity , Food Security",Global,,,,,,,,,,,,Site requires login to begin data download
Global Temperature Station Data,,,www.gearthblog.com/kmfiles/StationData.kml,yes,Educational Global Climate Modeling (EdGCM),Climate and Weather,Scenarios / GCM,Global,320fdc-382-4da33b6ac8064,Sat 13 Apr 2013 01:12:29 GMT,,diverse,diverse,,no,kml,0.0008563995,,,Maps of the average yearly temperatures and average temperature per month over different timescales in stations around the world.
Global Tree Cover,,,www.geodatamaps.com/kml/Global_Tree_Cover4.kml,no,GeoDataMaps,Changing Ecosystems,Biodiversity,Global,402831-1203-4af2db18c6580,Thu 13 Oct 2011 12:58:14 GMT,,,,,no,,,,,1km cells estimating percent tree cover.
"GLOBAL VEGETATION TYPES, 1971-1982 (MATTHEWS)",,,http://webmap.ornl.gov/kmz/ornldaac_ds419.kmz,yes,,Changing Ecosystems,"Land Use / Land Cover, Biodiversity",Global,a000000005a3c-553-49440cda90313,Thu 04 Nov 2010 21:25:56 GMT,,1971,1982,11,no,kmz,0.0012998581,,," A global digital data base of vegetation was compiled at 1 degree latitude by 1 degree longitude resolution, drawing on approximately 100 published sources. Vegetation data from varied sources were consistently recorded using the hierarchical UNESCO classification system. The raw data base distinguishes about 180 vegetation types that have been collapsed to 32.       "
Global Water Quality Data and Statistics - GEMStat,,http://www.unep.org/gemswater/GlobalNetwork/tabid/78238/Default.aspx,http://www.unep.org/gemswater/Portals/24154/docs/Country%20Summary%20of%20GEMStat%20Data%20Holidngs-June2013.xlsx,yes,United Nations Environment Programme ,Climate and Weather,Water Quality,Global,22e5459d226bce1:0,Mon 17 Jun 2013 06:19:25 GMT,,,,,,xls,0.0209102631,,,
Global Wilderness ( 1998 ),http://www.unep-wcmc.org/datasets-tools--reports_15.html?,http://www.unep-wcmc.org/global-wilderness-1998_722.html,,no,United Nations Environment Programme ,Changing Ecosystems,Biodiversity,Global ,,,,,,,,,,,,
GNS places database/Names,,,www.ambiotek.com/places/places.kmz,yes,King's college London. University of London,,,Global,,Thu 12 Mar 2009 12:40:15 GMT,,2006,2006,0,no,kmz,0.0746736526,,,This database is compiled from the US National Geospatial Intelligence Agency GEONET Names Server database (GNS) as of March 2006.  The GNS  has been rebuilt here as Google Earth KML in 5 by 5 degree tiles. 
GPCC Global Precipitation Climatology Center,,http://www.esrl.noaa.gov/psd/data/gridded/data.gpcc.html,,no,Earth System Research Laboratory ,Climate and Weather,Scenarios / GCM,Global,,,,,,,,,,,,
Greed and Grievance in Civil Wars,,,http://users.ox.ac.uk/~ball0144/g&g.zip,no,Paul Collier,Political Stability,Political Stability,Global,,,,,,,,,,,,
Ground Water Climate Response Network,http://www.nationalatlas.gov/atlasftp.html,http://www.nationalatlas.gov/mld/gwwst0x.html,http://dds.cr.usgs.gov/pub/data/nationalatlas/gwwst0x020_nt00232.tar.gz,yes,National Atlas,Climate and Weather,Scenarios / GCM,National,18cf7a-4f48-3f999988fb7c0,Wed 15 Jun 2005 19:16:55 GMT,,,,,,zip,0.0193557739,,,
Harvested Area and Yields of 175 crops (M3-Crops Data),http://www.geog.mcgill.ca/~nramankutty/Datasets/Datasets.html,http://www.geog.mcgill.ca/landuse/pub/Data/175crops2000/,,no,"Monfreda et al. (2008), ""Farming the planet: 2. Geographic distribution 
of crop areas, yields, physiological types, and net primary production 
in the year 2000"", Global Biogeochemical Cycles, Vol.22, GB1022, 
doi:10.1029/2007GB002947","Changing Ecosystems , Economic Development and Land Use","Land Use / Land Cover , Food Security",Global,,,,,,,,,,,,
"Hazardous Waste, Generation, Shipping, Receiving 2001-2007",http://www.nationalatlas.gov/atlasftp.html,http://www.nationalatlas.gov/mld/hw0107.html,http://dds.cr.usgs.gov/pub/data/nationalatlas/hw0107p010g_nt00383.tar.gz,yes,National Atlas,"International Travel and Commerce , War and Famine",Biodiversity,National,18d0b6-68ee2a-4be85990e7999,Wed 25 Apr 2012 19:08:34 GMT,,,,,,zip,6.5581455231,,,
Hewitt's Crisis Density Rivalry Data,,http://www.cidcm.umd.edu/icb/data/,"http://www.cidcm.umd.edu/icb/data/icb2v10-txt.zip ,
http://www.cidcm.umd.edu/icb/data/ICB2-2010-final.pdf ,
http://www.cidcm.umd.edu/icb/data/icb1v10-txt.zip ,
http://www.cidcm.umd.edu/icb/data/ICB1-2010-final.pdf",yes,"Center for International Development and Conflict Management, University of Maryland","War and Famine , Political Stability",Political Stability,Global,"ba9061ee62dcb1:5897,aebf8e362dcb1:5897,62de23eb62dcb1:5897,aca76ee262dcb1:5897","Mon 26 Jul 2010 21:10:10 GMT,Mon 26 Jul 2010 21:09:52 GMT,Mon 26 Jul 2010 21:10:04 GMT,Mon 26 Jul 2010 21:09:50 GMT",,,,,,"zip,pdf,zip,pdf",0.5068473816,,,
"Historical Croplands Dataset, 1700-1992",http://www.sage.wisc.edu/mapsdatamodels.html,http://www.sage.wisc.edu/download/crop1700/hist_croplands.html,"http://www.sage.wisc.edu/download/get_info?dl_file_name=crop1700/crop_1700-1992_nc.tar.gz ,
http://www.sage.wisc.edu/download/get_info?dl_file_name=crop1700/glcrop1700_0.5.asc.gz ,
http://www.sage.wisc.edu/download/get_info?dl_file_name=crop1700/glcrop1750_0.5.asc.gz ,
http://www.sage.wisc.edu/download/get_info?dl_file_name=crop1700/glcrop1800_0.5.asc.gz ,
http://www.sage.wisc.edu/download/get_info?dl_file_name=crop1700/glcrop1850_0.5.asc.gz ,
http://www.sage.wisc.edu/download/get_info?dl_file_name=crop1700/glcrop1870_0.5.asc.gz ,
http://www.sage.wisc.edu/download/get_info?dl_file_name=crop1700/glcrop1890_0.5.asc.gz ,
http://www.sage.wisc.edu/download/get_info?dl_file_name=crop1700/glcrop1900_0.5.asc.gz ,
http://www.sage.wisc.edu/download/get_info?dl_file_name=crop1700/glcrop1910_0.5.asc.gz ,
http://www.sage.wisc.edu/download/get_info?dl_file_name=crop1700/glcrop1930_0.5.asc.gz ,
http://www.sage.wisc.edu/download/get_info?dl_file_name=crop1700/glcrop1950_0.5.asc.gz ,
http://www.sage.wisc.edu/download/get_info?dl_file_name=crop1700/glcrop1970_0.5.asc.gz ,
http://www.sage.wisc.edu/download/get_info?dl_file_name=crop1700/glcrop1990_0.5.asc.gz",no,"Ramankutty and Foley, Center for Sustainability and Global Environment, University of Wisconsin - Madison","Changing Ecosystems , Economic Development and Land Use",Land Use / Land Cover,Global,,,,,,,,,,,,
Historical Real per Capita ( GDP ) values ,http://www.ers.usda.gov/data-products.aspx#.UzHq_dsgqk0,http://www.ers.usda.gov/data-products/international-macroeconomic-data-set.aspx#.UzXG_tsgqk0,http://www.ers.usda.gov/datafiles/International_Macroeconomic_Data/Historical_Data_Files/historicalRealPerCapitaGDPValues.xls,yes,"International Macroeconomic Dataset, US Department of Agriculture Economic Research Service",Economy,"Food Security , Economy",Global,4fc51e7e0fcce1:0,Thu 19 Dec 2013 17:36:51 GMT,,,,,,xls,0.4672851563,,,http://www.ers.usda.gov/data-products/international-macroeconomic-data-set.aspx#.UyM4NHWx1pk
Holdridge Life Zones ,http://www.unep-wcmc.org/datasets-tools--reports_15.html?,http://www.unep-wcmc.org/holdridges-life-zones-1992_728.html,,no,United Nations Environment Programme ,"Changing Ecosystems , War and Famine , Technology and Industry","Biodiversity , Food Security , Energy",Global ,,,,,,,,,,,,
Human Impacts to Marine Ecosystems,,http://earth.tryse.net/,http://earth.tryse.net/Forests_nw.kmz,yes,David and Edel Tryse,Changing Ecosystems,"Water Quality , Biodiversity",Global,1ca8932-18f-473e42917b580,Sat 19 Sep 2009 01:28:06 GMT,,Present,Present,,no,kmz,0.0003805161,,,"Data Layers & Sub Folders Included are World Sunlight Map, Global infrared satellite images, Low Level Winds, Solar Locator, Global Cloud Map, Latest Sea Surface Temperatures, Land (Day & Night) Temperatures"
Hunger,,,www.declanbutler.info/Poverty/Hunger.kmz,yes,Declan Butler (reporter),"Poverty and Social Inequality , Human Susceptibility ",Poverty / Refugees,Global,,Sun 01 Oct 2006 21:33:15 GMT,,2000,2000,,no,kmz,4.5947122574,,,"The global distribution of poverty ranks countries according to the percentage of underweight children under the age of 5. There are 6 different ranges of poverty. This might not be very useful for the amazon as the whole area has a percentage less than 10%, but could be useful for more global studies. These global maps are taken from the Atlas of Poverty."
"Hydrogen Potential from Renewables (onshore wind, solar PV, biomass)",,http://www.nrel.gov/gis/data_hydrogen.html,"http://www.nrel.gov/gis/data/GIS_Data_Technology_Specific/United_States/Hydrogen/High_Resolution/Hydrogen.zip ,
https://mapservices.nrel.gov/data_res/wms/kml?layers=data_res:h2renewables",yes,"National Renewable Energy Laboratory
",Technology and Industry,Energy,National,"3900ae-310d840-4e13e15a1f480,","Thu 11 Jul 2013 15:31:14 GMT,",County,,,,no,"zip,kmz",49.0541324615,,,
Hydrologic Units (Watersheds),http://www.nationalatlas.gov/atlasftp.html,http://www.nationalatlas.gov/mld/hucs00m.html,"http://dds.cr.usgs.gov/pub/data/nationalatlas/e_hucs00_nt00014.tar.gz ,
http://dds.cr.usgs.gov/pub/data/nationalatlas/hucs00m020_nt00013.tar.gz",yes,National Atlas,Changing Ecosystems,Biodiversity,National,"18d06b-c3c74f-4104da48be380,18cfb3-ba1c91-4104d9e777e00","Fri 31 Mar 2006 17:19:26 GMT,Fri 31 Mar 2006 17:17:44 GMT",,,,,,"zip,zip",23.8681335449,,,
HydroSheds,http://hydrosheds.cr.usgs.gov/dataavail.php,,,no,"WWF , USGS",Changing Ecosystems,"Land Use / Land Cover , Biodiversity",Global,,,,,,,,,,,,
IBA National Layer ,,http://ca.audubon.org/iba/ibamap-Interactive.php,,no,Audubon ,"Climate and Weather , Changing Ecosystems","Biodiversity , Land Use / Land Cover",National,,,,,,,no,,,,,
ICOW Territorial Claims Data,,http://www.paulhensel.org/icowterr.html#download,,no,"Paul Hensel, University of North Texas",War and Famine,Political Stability,Global,,,,,,,,,,,,
ICRAN Sites,http://www.reefbase.org/main.aspx,http://www.reefbase.org/gis_maps/datasets.aspx,,no,Reefbase - A Global Information System for Coral Reefs,Changing Ecosystems,Biodiversity,Global,,,,,,,,,,,,
Imazon,,http://www.imazon.org.br/,http://www.imazongeo.org.br/downloads/,no,MODIS,"Changing Ecosystems , Climate and Weather","Scenarios / GCM , Biodiversity",Regional,,,,,,,,,,,,
Impervious Surface - Alaska 100 Meter Resolution Albers Projection ,http://www.nationalatlas.gov/atlasftp.html,http://www.nationalatlas.gov/mld/impe100.html,http://dds.cr.usgs.gov/pub/data/nationalatlas/impeaki0100a.tif_nt00833.tar.gz,yes,National Atlas,Changing Ecosystems,Land Use / Land Cover,National,7e2246-365328-4dbc26f64b000,Thu 02 May 2013 20:54:05 GMT,,,,,,zip,3.3953018189,,,
Impervious Surface - Conterminous United States 100 Meter Resolution Albers Projection ,http://www.nationalatlas.gov/atlasftp.html,http://www.nationalatlas.gov/mld/impe100.html,http://dds.cr.usgs.gov/pub/data/nationalatlas/impe48i0100a.tif_nt00832.tar.gz,yes,National Atlas,Changing Ecosystems,Land Use / Land Cover,National,7e2247-6fc1d31-4dbc270663561,Thu 02 May 2013 20:54:22 GMT,,,,,,zip,111.757126808,,,
Impervious Surface - Hawaii 100 Meter Resolution Albers Projection ,http://www.nationalatlas.gov/atlasftp.html,http://www.nationalatlas.gov/mld/impe100.html,http://dds.cr.usgs.gov/pub/data/nationalatlas/impehii0100a.tif_nt00834.tar.gz,yes,National Atlas,Changing Ecosystems,Land Use / Land Cover,National,7dada0-6803f-4dbc26f65ffef,Thu 02 May 2013 20:54:05 GMT,,,,,,zip,0.4063100815,,,
Impervious Surface - Puerto Rico and the U.S. Virgin Islands 100 Meter Resolution Albers Projection ,http://www.nationalatlas.gov/atlasftp.html,http://www.nationalatlas.gov/mld/impe100.html,http://dds.cr.usgs.gov/pub/data/nationalatlas/impepri0100a.tif_nt00835.tar.gz,yes,National Atlas,Changing Ecosystems,Land Use / Land Cover,National,7e2248-5390f-4dbc26f6bf745,Thu 02 May 2013 20:54:06 GMT,,,,,,zip,0.3264303207,,,
"Income Elasticities for Broad Consumption Categories, 144 Countries, 2005 ",http://www.ers.usda.gov/data-products.aspx#.UzHq_dsgqk0,http://www.ers.usda.gov/data-products/international-food-consumption-patterns.aspx#.UzXGf9sgqk0,http://www.ers.usda.gov/datafiles/International_Food_Consumption_Patterns/2005_Data/Table1.xls,yes,US Department of Agriculture Economic Research Service,Economic Development and Land Use,Food Security ,Global ,a2ea654f6256ce1:0,Tue 21 May 2013 20:32:27 GMT,,,,,,xls,0.0590820313,,,
"Income Elasticities for Food Categories, 144 countries, 2005",http://www.ers.usda.gov/data-products.aspx#.UzHq_dsgqk0,http://www.ers.usda.gov/data-products/international-food-consumption-patterns.aspx#.UzXGf9sgqk0,http://www.ers.usda.gov/datafiles/International_Food_Consumption_Patterns/2005_Data/Table5.xls,yes,US Department of Agriculture Economic Research Service,Economic Development and Land Use,Food Security,Global,3ecc4436656ce1:0,Tue 21 May 2013 21:00:46 GMT,,,,,,xls,0.0571289063,,,
Indirect Land Use Change from biofuel production ,http://www.unep-wcmc.org/datasets-tools--reports_15.html?,http://www.unep-wcmc.org/indirect-land-use-change-from-biofuel-production-implications-for-biodiversity_782.html,,no,"Joint Nature Conservation Committee, United Nations Conservation Programme","Changing Ecosystems , War and Famine , Technology and Industry","Biodiversity, Food Security, Energy",Global,,,,,,,,,,,,
Infant Mortality,,,http://www.declanbutler.info/Poverty/Infant_mortality.kmz,yes,Declan Butler (reporter),"Poverty and Social Inequality , Human Susceptibility",Poverty / Refugees,Global,,Sun 01 Oct 2006 21:38:58 GMT,,,,,no,kmz,5.4034776688,,,Infant mortality rates for each country. 8 categories (range).
Intact Forest Landscapes,,http://www.intactforests.org/data.ifl.html,"http://www.intactforests.org/shp/world_ifl.zip ,
http://globalmonitoring.sdstate.edu/projects/gfm/ifl/world.kml",yes,Intact Forest Landscapes,Changing Ecosystems,Biodiversity,Global,"16d206-7b7ed0a-4b5b777f489c0,ce9071-f19-4b5c9f7114240","Wed 04 Jan 2012 17:51:43 GMT,Thu 05 Jan 2012 15:55:45 GMT",,2000,2000,0,no,"zip,kml",123.499056816,,,"The world's IFL map is a spatial database (scale 1:1,000,000) that shows the extent of the intact forest landscapes (IFL) for year 2000 (approx.)."
International Comprehensive Ocean-Atmosphere Data Set ( ICOADS ),,http://icoads.noaa.gov/products.html,,no,Earth System Research Laboratory ,Climate and Weather,Scenarios / GCM,Global,,,,,,,,,,,,
